,1. open,2. high,3. low,5. adjusted close
2018-03-28,998.0000,1024.2300,980.6400,1004.5600
2018-03-29,1011.6300,1043.0000,1002.9000,1031.7900
2018-04-02,1022.8200,1034.8000,990.3700,1006.4700
2018-04-03,1013.9100,1020.9900,994.0700,1013.4100
2018-04-04,993.4100,1028.7200,993.0000,1025.1400
2018-04-05,1041.3300,1042.7900,1020.1300,1027.8100
2018-04-06,1020.0000,1031.4200,1003.0300,1007.0400
2018-04-09,1016.8000,1039.6000,1014.0800,1015.4500
2018-04-10,1026.4400,1036.2800,1011.3400,1031.6400
2018-04-11,1027.9900,1031.3600,1015.8700,1019.9700
2018-04-12,1025.0400,1040.6900,1021.4300,1032.5100
2018-04-13,1040.8800,1046.4200,1022.9800,1029.2700
2018-04-16,1037.0000,1043.2400,1026.7400,1037.9800
2018-04-17,1051.3700,1077.8800,1048.2600,1074.1600
2018-04-18,1077.4300,1077.4300,1066.2200,1072.0800
2018-04-19,1069.4000,1094.1600,1068.1800,1087.7000
2018-04-20,1082.0000,1092.3500,1069.5700,1072.9600
2018-04-23,1077.8600,1082.7200,1060.7000,1067.4500
2018-04-24,1052.0000,1057.0000,1010.5900,1019.9800
2018-04-25,1025.5200,1032.4900,1015.3100,1021.1800
2018-04-26,1029.5100,1047.9800,1018.1900,1040.0400
2018-04-27,1046.0000,1049.5000,1025.5900,1030.0500
2018-04-30,1030.0100,1037.0000,1016.8500,1017.3300
2018-05-01,1013.6600,1038.4700,1008.2100,1037.3100
2018-05-02,1028.1000,1040.3900,1022.8700,1024.3800
2018-05-03,1019.0000,1029.6700,1006.2900,1023.7200
2018-05-04,1016.9000,1048.5100,1016.9000,1048.2100
2018-05-07,1049.2300,1061.6800,1047.1000,1054.7900
2018-05-08,1058.5400,1060.5500,1047.1400,1053.9100
2018-05-09,1058.1000,1085.4400,1056.3700,1082.7600
2018-05-10,1086.0300,1100.4400,1085.6400,1097.5700
2018-05-11,1093.6000,1101.3300,1090.9100,1098.2600
2018-05-14,1100.0000,1110.7500,1099.1100,1100.2000
2018-05-15,1090.0000,1090.0500,1073.4700,1079.2300
2018-05-16,1077.3100,1089.2700,1076.2600,1081.7700
2018-05-17,1079.8900,1086.8700,1073.5000,1078.5900
2018-05-18,1061.8600,1069.9400,1060.6800,1066.3600
2018-05-21,1074.0600,1088.0000,1073.6500,1079.5800
2018-05-22,1083.5600,1086.5900,1066.6900,1069.7300
2018-05-23,1065.1300,1080.7800,1061.7100,1079.6900
2018-05-24,1079.0000,1080.4700,1066.1500,1079.2400
2018-05-25,1079.0200,1082.5600,1073.7800,1075.6600
2018-05-29,1064.8900,1073.3700,1055.2200,1060.3200
2018-05-30,1063.0300,1069.2100,1056.8300,1067.8000
2018-05-31,1067.5600,1097.1900,1067.5600,1084.9900
2018-06-01,1099.3500,1120.0000,1098.5000,1119.5000
2018-06-04,1122.3300,1141.8900,1122.0100,1139.2900
2018-06-05,1140.9900,1145.7400,1133.1900,1139.6600
2018-06-06,1142.1700,1143.0000,1125.7400,1136.8800
2018-06-07,1131.3200,1135.8200,1116.5200,1123.8600
2018-06-08,1118.1800,1126.6700,1112.1500,1120.8700
2018-06-11,1118.6000,1137.2600,1118.6000,1129.9900
2018-06-12,1131.0700,1139.7900,1130.7300,1139.3200
2018-06-13,1141.1200,1146.5000,1133.3800,1134.7900
2018-06-14,1143.8500,1155.4700,1140.6400,1152.1200
2018-06-15,1148.8600,1153.4200,1143.4800,1152.2600
2018-06-18,1143.6500,1174.3100,1143.5900,1173.4600
2018-06-19,1158.5000,1171.2700,1154.0100,1168.0600
2018-06-20,1175.3100,1186.2900,1169.1600,1169.8400
2018-06-21,1174.8500,1177.3000,1152.2300,1157.6600
2018-06-22,1159.1400,1162.5000,1147.2600,1155.4800
2018-06-25,1143.6000,1143.9100,1112.7800,1124.8100
2018-06-26,1128.0000,1133.2100,1116.6600,1118.4600
2018-06-27,1121.3400,1131.8400,1103.6200,1103.9800
2018-06-28,1102.0900,1122.3100,1096.0100,1114.2200
2018-06-29,1120.0000,1128.2300,1115.0000,1115.6500
2018-07-02,1099.0000,1128.0000,1093.8000,1127.4600
2018-07-03,1135.8200,1135.8200,1100.0200,1102.8900
2018-07-05,1110.5300,1127.5000,1108.4800,1124.2700
2018-07-06,1123.5800,1140.9300,1120.7400,1140.1700
2018-07-09,1148.4800,1154.6700,1143.4200,1154.0500
2018-07-10,1156.9800,1159.5900,1149.5900,1152.8400
2018-07-11,1144.5900,1164.2900,1141.0000,1153.9000
2018-07-12,1159.8900,1184.4100,1155.9300,1183.4800
2018-07-13,1185.0000,1195.4200,1180.0000,1188.8200
2018-07-16,1189.3900,1191.0000,1179.2800,1183.8600
2018-07-17,1172.2200,1203.0400,1170.6000,1198.8000
2018-07-18,1196.5600,1204.5000,1190.3400,1195.8800
2018-07-19,1191.0000,1200.0000,1183.3200,1186.9600
2018-07-20,1186.9600,1196.8600,1184.2200,1184.9100
2018-07-23,1181.0100,1206.4900,1181.0000,1205.5000
2018-07-24,1262.5900,1266.0000,1235.5600,1248.0800
2018-07-25,1239.1300,1265.8600,1239.1300,1263.7000
2018-07-26,1251.0000,1269.7700,1249.0200,1268.3300
2018-07-27,1271.0000,1273.8900,1231.0000,1238.5000
2018-07-30,1228.0100,1234.9200,1211.4700,1219.7400
2018-07-31,1220.0100,1227.5900,1205.6000,1217.2600
2018-08-01,1228.0000,1233.4700,1210.2100,1220.0100
2018-08-02,1205.9000,1229.8800,1204.7900,1226.1500
2018-08-03,1229.6200,1230.0000,1215.0600,1223.7100
2018-08-06,1225.0000,1226.0900,1215.8000,1224.7700
2018-08-07,1237.0000,1251.1700,1236.1700,1242.2200
2018-08-08,1240.4700,1256.5000,1238.0100,1245.6100
2018-08-09,1249.9000,1255.5400,1246.0100,1249.1000
2018-08-10,1243.0000,1245.6900,1232.0000,1237.6100
2018-08-13,1236.9800,1249.2700,1233.6400,1235.0100
2018-08-14,1235.1900,1245.8700,1225.1100,1242.1000
2018-08-15,1229.2600,1235.2400,1209.5100,1214.3800
2018-08-16,1224.7300,1226.0000,1202.5500,1206.4900
2018-08-17,1202.0300,1209.0200,1188.2400,1200.9600
